,id,fss,kf,n,idoc,ratio,probable_class,dc_c,dc,mu_nc,mu_mc,mu_sc,mu_fsf_low,mu_fsf_high,mu_kf_low,mu_kf_high,mu_n_low,mu_n_high,mu_idoc_low,mu_idoc_high,mu_ratio_low,mu_ratio_high
59,B-us after,13.79022148,0.00464,0.211044117,13.44,29.38450961,,0.40591818725810824,0.46539682057960496,0.9873369540646187,0.4808046403289581,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.2557130743597527,0.9999087348559993,0.993462836968081,0.00033542871433740496,0.00016079106496870367,0.9873369540646187,0.04109687479985452,0.1667952655725353
60,B-us after,13.79022148,0.00324,0.211044117,13.18,29.38450961,,0.40841296781347186,0.46701548494359885,0.9851274022645313,0.6562583799534636,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.6562583799534636,0.9968382261815432,0.993462836968081,0.00033542871433740496,0.00020200320024702715,0.9851274022645313,0.04109687479985452,0.1667952655725353
61,B-us after,13.79022148,0.00275,0.211044117,13.52,29.38450961,,0.409561882641728,0.4677609242511821,0.9879515865830362,0.7767713920016838,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.7767713920016838,0.9891346417903265,0.993462836968081,0.00033542871433740496,0.00014982853674414055,0.9879515865830362,0.04109687479985452,0.1667952655725353
62,B-us after,13.79022148,0.00181,0.211044117,13.53,29.38450961,,0.4208494382330681,0.47508451988889105,0.8942118188791052,0.9168201061494211,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.9168201061494211,0.8942118188791052,0.993462836968081,0.00033542871433740496,0.00014854652349475416,0.9880249408501639,0.04109687479985452,0.1667952655725353
63,B-us after,13.79022148,0.00107,0.211044117,13.51,29.38450961,,0.49543569974281443,0.5234776033165268,0.564742963398253,0.9646448635684554,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.9646448635684554,0.564742963398253,0.993462836968081,0.00033542871433740496,0.00015111054999352697,0.9878782323159083,0.04109687479985452,0.1667952655725353
64,B-us after,13.79022148,0.000595,0.211044117,13.53,29.38450961,,0.6014648241000351,0.592271455654972,0.2805009184082746,0.9799604993351002,0.4808046403289581,0.021057488679387896,0.4808046403289581,0.9799604993351002,0.2805009184082746,0.993462836968081,0.00033542871433740496,0.00014854652349475416,0.9880249408501639,0.04109687479985452,0.1667952655725353
65,B-us after,13.79022148,,0.211044117,13.52,29.38450961,,0.41074638005392344,0.46852945026291554,0.9879515865830362,0.9879515865830362,0.4808046403289581,0.021057488679387896,0.4808046403289581,,,0.993462836968081,0.00033542871433740496,0.00014982853674414055,0.9879515865830362,0.04109687479985452,0.1667952655725353
66,B-us after,13.79022148,,0.211044117,13.52,29.38450961,,0.41074638005392344,0.46852945026291554,0.9879515865830362,0.9879515865830362,0.4808046403289581,0.021057488679387896,0.4808046403289581,,,0.993462836968081,0.00033542871433740496,0.00014982853674414055,0.9879515865830362,0.04109687479985452,0.1667952655725353
67,B-ds before,16.55453258,0.0102,0.195214063,12.62,17.12944174,,0.488636488320012,0.5190661366607967,0.9789937562491149,0.718171119707225,0.718171119707225,0.003464230356264788,0.718171119707225,0.00037578424192314823,0.999999999931267,0.9935132573683558,0.00033333858398435103,0.00033040248765005205,0.9789937562491149,0.8515028340758476,0.009622353227181503
68,B-ds before,16.55453258,0.00824,0.195214063,12.79,17.12944174,,0.48853017798513065,0.5189971603533509,0.9810822035215958,0.718171119707225,0.718171119707225,0.003464230356264788,0.718171119707225,0.0041467365267437864,0.9999999900500051,0.9935132573683558,0.00033333858398435103,0.00028448915617796386,0.9810822035215958,0.8515028340758476,0.009622353227181503
69,B-ds before,16.55453258,0.00769,0.195214063,13.01,17.12944174,,0.48842927154945065,0.5189316902056131,0.9834823288679626,0.718171119707225,0.718171119707225,0.003464230356264788,0.718171119707225,0.008097778696181765,0.9999999600728857,0.9935132573683558,0.00033333858398435103,0.0002344806722436891,0.9834823288679626,0.8515028340758476,0.009622353227181503
70,B-ds before,16.55453258,0.00441,0.195214063,12.58,17.12944174,,0.48882829395697913,0.5191905840590676,0.9784709479400845,0.68718724787263,0.718171119707225,0.003464230356264788,0.718171119707225,0.31281275212737003,0.9998373232847438,0.9935132573683558,0.00033333858398435103,0.0003422279355111037,0.9784709479400845,0.8515028340758476,0.009622353227181503
71,B-ds before,16.55453258,0.00393,0.195214063,12.51,17.12944174,,0.48976409412730326,0.519797750242188,0.9775285453299764,0.5494840586203988,0.718171119707225,0.003464230356264788,0.718171119707225,0.4505159413796011,0.999449010396979,0.9935132573683558,0.00033333858398435103,0.0003638306842580155,0.9775285453299764,0.8515028340758476,0.009622353227181503
72,B-ds before,16.55453258,0.00492,0.195214063,12.42,17.12944174,,0.48879682003930425,0.5191701631411532,0.9762503560710026,0.718171119707225,0.718171119707225,0.003464230356264788,0.718171119707225,0.1959471464758805,0.9999552322526564,0.9935132573683558,0.00033333858398435103,0.00039387199476923634,0.9762503560710026,0.8515028340758476,0.009622353227181503
73,B-ds before,16.55453258,0.00373,0.195214063,11.96,17.12944174,,0.49072881576888655,0.5204236812640758,0.9685446529908455,0.5116059723719382,0.718171119707225,0.003464230356264788,0.718171119707225,0.5116059723719382,0.9990856263747571,0.9935132573683558,0.00033333858398435103,0.0005901892299641158,0.9685446529908455,0.8515028340758476,0.009622353227181503
74,B-ds before,16.55453258,0.00366,0.195214063,12.16,17.12944174,,0.490265900287949,0.520123332285115,0.9721527260920972,0.5329903778716688,0.718171119707225,0.003464230356264788,0.718171119707225,0.5329903778716688,0.9989068956649386,0.9935132573683558,0.00033333858398435103,0.000495100398714858,0.9721527260920972,0.8515028340758476,0.009622353227181503
75,B-ds before,16.55453258,0.00104,0.195214063,,17.12944174,,0.6089343642786773,0.5971178452408594,0.545967867889265,0.9658699846702457,0.8515028340758476,0.003464230356264788,0.718171119707225,0.9658699846702457,0.545967867889265,0.9935132573683558,0.00033333858398435103,,,0.8515028340758476,0.009622353227181503
76,B-ds before,16.55453258,0.000975,0.195214063,,17.12944174,,0.6212583022447119,0.6051138668415584,0.505122475022802,0.9684138525558436,0.8515028340758476,0.003464230356264788,0.718171119707225,0.9684138525558436,0.505122475022802,0.9935132573683558,0.00033333858398435103,,,0.8515028340758476,0.009622353227181503
