Easting [m,Northig [m,dz
4574217.46,5303506.07,-0.33
4574223.11,5303470.55,-1.26
4574180.81,5303680.54,0.52
4574185.66,5303643.87,0.53
4574190.37,5303607.26,0.13
4574195,5303570.74,-0.16
4574199.57,5303534.32,-0.38
4574163.22,5303709.49,0.21
4574204.9,5303498.64,-1.43
4574168.11,5303672.78,0.54
4574172.87,5303636.13,0.14
4574177.53,5303599.56,-0.3
4574182.13,5303563.09,-0.47
4574186.7,5303526.73,-1.57
4574145.63,5303738.45,-0.1
4574150.56,5303701.69,0.52
4574155.37,5303665,0.16
4574160.06,5303628.38,-0.44
4574164.69,5303591.86,-0.58
4574169.29,5303555.45,-1.65
4574128.13,5303766.52,-0.37
4574133.01,5303730.6,0.48
4574110.62,5303794.6,-0.64
4574137.87,5303693.87,0.15
4574093.12,5303822.67,-0.81
4574142.59,5303657.2,-0.5
4574147.25,5303620.63,-0.67
4574151.87,5303584.17,-1.63
4574115.9,5303758.98,0.32
4574120.36,5303722.74,0.16
4574098.79,5303787.36,0.13
4574125.11,5303686.02,-0.52
4574075.62,5303850.74,-1
4574081.68,5303815.73,-0.17
4574129.81,5303649.4,-0.75
4574134.46,5303612.89,-1.38
4574103.63,5303751.41,0.17
4574107.64,5303714.84,-0.52
4574086.9,5303780.08,0.12
4574112.37,5303678.18,-0.73
4574058.11,5303878.82,-1.19
4574064.57,5303844.11,-0.45
4574070.16,5303808.75,0.04
4574117.05,5303641.61,-1.16
4574091.3,5303743.81,-0.41
4574094.94,5303706.95,-0.61
4574074.95,5303772.78,-0.32
4574099.63,5303670.33,-0.81
4574040.61,5303906.89,-1.26
4574022.97,5303935.78,-1.33
4574047.46,5303872.48,-0.73
4574053.43,5303837.42,-0.12
4574058.6,5303801.74,-0.19
4574078.98,5303736.22,-0.44
4574082.22,5303699.05,-0.53
4574063.02,5303765.48,-0.2
4574030.35,5303900.86,-0.98
4574005.33,5303964.68,-1.36
4574012.18,5303929.37,-1.18
4574036.7,5303866.09,-0.21
4574042.25,5303830.71,-0.14
4574047.07,5303794.75,0.05
4574066.65,5303728.61,-0.37
4574051.07,5303758.18,-0.12
4574019.97,5303894.76,-0.37
4573987.7,5303993.57,-1.18
4573994.01,5303957.87,-1.14
4574001.28,5303922.89,-0.39
4574025.91,5303859.68,-0.07
4574031.11,5303824.02,0.26
4574035.5,5303787.74,0.11
4574009.56,5303888.65,-0.06
4573970.06,5304022.46,-0.81
4573975.84,5303986.38,-1.13
4573982.6,5303951.01,-0.36
4573990.36,5303916.39,-0.06
4574015.15,5303853.28,0.45
4574019.93,5303817.3,0.5
4573999.2,5303882.55,0.59
4573952.42,5304051.36,-0.47
4573957.68,5304014.89,-0.95
4573963.91,5303979.14,-0.44
4573971.16,5303944.14,0.05
4573979.48,5303909.92,0.81
4574004.35,5303846.87,0.73
4573988.78,5303876.43,1.21
4573934.78,5304080.25,0.01
4573939.51,5304043.4,-0.68
4573945.22,5304007.27,-0.57
4573951.97,5303971.89,0.1
4573959.77,5303937.29,0.98
4573968.56,5303903.43,1.19
4573916.72,5304114.56,0.58
4573921.34,5304071.9,-0.37
4573926.54,5304035.39,-0.49
4573932.77,5303999.64,0.18
4573940.05,5303964.66,1.04
4573948.34,5303930.43,1.06
4573898.65,5304148.87,0.86
4573880.59,5304183.17,0.66
4573903.37,5304106.52,0.07
4573907.85,5304063.52,-0.44
4573913.57,5304027.39,0.29
4573920.33,5303992.03,0.99
4573928.13,5303957.42,0.86
4573885.41,5304141.14,0.62
4573862.52,5304217.48,0.12
4573867.44,5304175.76,1.07
4573889.95,5304098.44,-0.29
4573894.37,5304055.14,0.29
4573900.62,5304019.4,0.73
4573907.91,5303984.42,0.67
4573872.05,5304133.35,-0.01
4573844.46,5304251.79,-0.21
4573849.47,5304210.37,1.22
4573854.15,5304168.27,0.44
4573887.69,5304011.42,0.02
4573876.49,5304090.33,0.18
4573880.9,5304046.77,0.56
4573858.6,5304125.51,0.01
4573827.3,5304280.63,-0.2
4573831.5,5304244.99,1.11
4573836.25,5304203.18,0.88
4573840.71,5304160.7,-0.1
4573867.47,5304038.42,-0.58
4573863.01,5304082.22,0.19
4573845.13,5304117.66,-0.17
4573810.14,5304309.48,-0.03
4573814.23,5304273.79,0.94
4573818.35,5304238.1,1.01
4573822.82,5304195.88,-0.11
4573827.24,5304153.11,-0.65
4573849.56,5304074.12,-0.82
4573831.65,5304109.82,-1.01
4573792.97,5304338.33,0.3
4573796.96,5304302.6,0.75
4573801,5304266.88,0.89
4573804.93,5304231.07,-0.19
4573809.35,5304188.56,-0.87
4573813.75,5304145.52,-1.25
4573775.81,5304367.17,0.55
4573779.69,5304331.4,0.67
4573783.65,5304295.65,0.7
4573787.56,5304259.85,-0.26
4573791.46,5304224.01,-1.09
4573795.84,5304181.22,-1.29
4573758.65,5304396.02,0.68
4573762.41,5304360.2,0.58
4573766.3,5304324.43,0.52
4573770.18,5304288.62,-0.32
4573774.06,5304252.79,-1.29
4573777.93,5304216.92,-1.04
4573741.49,5304424.86,0.75
4573745.14,5304389.01,0.56
4573748.95,5304353.2,0.31
4573752.81,5304317.4,-0.33
4573756.66,5304281.56,-1.26
4573760.53,5304245.71,-0.64
4573726.21,5304454.89,0.57
4573727.87,5304417.81,0.47
4573731.6,5304381.98,0.13
4573735.43,5304346.18,-0.26
4573739.26,5304310.34,-1.11
4573743.13,5304274.5,-0.31
4573710.93,5304484.92,0.24
4573712.72,5304447.9,0.46
4573714.26,5304410.75,-0.04
4573718.06,5304374.95,-0.22
4573721.86,5304339.12,-0.81
4573725.72,5304303.29,-0.26
4573695.65,5304514.95,-0.08
4573697.57,5304477.99,0.4
4573699.22,5304440.9,0.01
4573700.68,5304403.73,-0.03
4573704.46,5304367.9,-0.52
4573708.32,5304332.09,-0.33
4573684.19,5304471.05,0.14
4573680.38,5304544.98,-0.44
4573682.42,5304508.09,0.3
4573685.76,5304433.93,0.09
4573687.06,5304396.68,-0.34
4573690.92,5304360.88,-0.56
4573670.84,5304464.13,0.24
4573669.16,5304501.2,0.28
4573667.27,5304538.18,0.13
4573672.26,5304426.94,-0.24
4573673.52,5304389.67,-0.87
4573657.45,5304457.19,-0.13
4573655.91,5304494.32,0.23
4573654.13,5304531.35,0.3
4573649.82,5304605.04,-1
4573652.12,5304568.27,-0.15
4573631.57,5304640.41,-1.13
4573658.83,5304419.97,-0.78
4573644.14,5304450.28,-0.81
4573642.65,5304487.44,-0.15
4573640.99,5304524.52,0.24
4573639.1,5304561.5,0.25
4573636.97,5304598.36,-0.5
4573613.32,5304675.78,-1.11
4573618.55,5304633.74,-0.87
4573629.44,5304480.59,-0.43
4573627.85,5304517.69,-0.03
4573626.07,5304554.72,0.22
4573624.06,5304591.64,0.07
4573605.47,5304627.03,-0.2
4573595.07,5304711.15,-0.99
4573600.13,5304669.11,-1.06
4573614.75,5304510.89,-0.18
4573613.04,5304547.95,0.18
4573611.15,5304584.92,0.23
4573592.37,5304620.3,0.23
4573586.88,5304662.41,-0.33
4573576.82,5304746.52,-0.66
4573581.71,5304704.49,-1.01
4573558.57,5304781.89,-0.34
4573600.06,5304541.2,0.18
4573598.24,5304578.2,0.48
4573579.29,5304613.58,0.91
4573573.59,5304655.68,0.32
4573568.29,5304697.79,-0.38
4573563.29,5304739.86,-0.89
4573540.71,5304817.44,0.06
4573544.87,5304775.24,-0.58
4573585.37,5304571.5,0.64
4573566.22,5304606.88,1.05
4573560.33,5304648.97,1.12
4573554.82,5304691.06,0.34
4573549.7,5304733.18,-0.42
4573522.85,5304852.99,0.41
4573531.11,5304768.56,-0.38
4573526.98,5304810.88,-0.28
4573504.98,5304888.54,0.65
4573547.07,5304642.26,1.06
4573541.38,5304684.35,1.11
4573536.04,5304726.44,0.38
4573509.1,5304846.52,0.13
4573517.27,5304761.83,0.38
4573513.23,5304804.3,-0.35
4573487.12,5304924.09,0.84
4573491.22,5304882.16,0.46
4573527.93,5304677.65,0.89
4573522.42,5304719.74,1
4573495.35,5304840.05,-0.14
4573503.47,5304755.13,0.71
4573499.4,5304797.68,0.34
4573469.26,5304959.64,0.9
4573473.33,5304917.8,0.81
4573477.47,5304875.79,0.1
4573508.78,5304713.03,0.51
4573481.52,5304833.53,0.24
4573489.63,5304748.41,-0.04
4573485.6,5304791.08,0.46
4573454.5,5304989.7,0.92
4573455.45,5304953.44,0.93
4573459.58,5304911.53,0.37
4573463.65,5304869.38,0.17
4573467.73,5304827.03,-0.05
4573471.77,5304784.47,-0.53
4573439.74,5305019.75,0.86
4573440.93,5304983.64,0.99
4573441.7,5304947.28,0.47
4573445.78,5304905.24,-0.12
4573449.85,5304862.99,-0.47
4573453.91,5304820.53,-1.09
4573424.98,5305049.8,0.84
4573426.41,5305013.83,0.92
4573410.23,5305079.86,0.82
4573427.42,5304977.6,0.52
4573427.91,5304941.09,-0.26
4573431.98,5304898.94,-0.97
4573436.05,5304856.59,-1.54
4573395.47,5305109.91,0.77
4573411.9,5305044.02,0.85
4573413.14,5305007.92,0.5
4573397.38,5305074.21,0.75
4573413.87,5304971.54,-0.39
4573414.11,5304934.9,-1.19
4573418.19,5304892.65,-1.66
4573380.71,5305139.97,0.68
4573382.86,5305104.4,0.57
4573398.86,5305038.24,0.44
4573399.83,5305002,-0.53
4573384.57,5305068.56,0.32
4573400.32,5304965.49,-1.39
4573400.33,5304928.71,-1.7
4573368.7,5305171.16,0.46
4573368.35,5305134.59,0.42
4573370.29,5305098.88,0.09
4573385.79,5305032.46,-0.68
4573386.52,5304996.08,-1.43
4573371.75,5305062.91,-0.79
4573386.77,5304959.43,-1.6
4573356.69,5305202.34,0.24
4573356.02,5305165.65,0.3
4573356.01,5305129.2,-0.06
4573357.71,5305093.37,-0.85
4573372.73,5305026.67,-1.4
4573373.21,5304990.16,-1.44
4573358.93,5305057.27,-1.34
4573344.68,5305233.53,-0.01
4573343.69,5305196.71,0.15
4573343.34,5305160.14,-0.08
4573343.68,5305123.83,-0.83
4573345.14,5305087.86,-1.12
4573359.66,5305020.88,-1.31
4573346.1,5305051.61,-1.06
4573332.67,5305264.72,-0.29
4573331.36,5305227.77,0.01
4573330.68,5305191.07,-0.12
4573330.67,5305154.63,-0.83
4573331.34,5305118.45,-0.98
4573332.54,5305082.33,-0.99
4573320.66,5305295.9,-0.61
4573319.04,5305258.84,-0.14
4573308.65,5305327.09,-0.94
4573318.02,5305222,-0.13
4573317.67,5305185.43,-0.58
4573318,5305149.12,-0.75
4573318.98,5305113.06,-0.68
4573295.25,5305357.85,-1.1
4573306.71,5305289.9,-0.29
4573305.35,5305252.94,-0.14
4573294.38,5305320.96,-0.43
4573304.67,5305216.23,-0.52
4573304.67,5305179.79,-0.56
4573305.31,5305143.6,-0.46
4573281.85,5305388.61,-1.2
4573280.98,5305351.7,-0.58
4573292.69,5305283.87,-0.13
4573291.67,5305247.03,-0.35
4573280.02,5305314.8,-0.13
4573291.33,5305210.46,-0.35
4573291.64,5305174.14,-0.29
4573268.45,5305419.37,-1.19
4573267.57,5305382.45,-0.72
4573266.62,5305345.53,-0.16
4573278.67,5305277.83,-0.19
4573277.99,5305241.13,-0.17
4573265.67,5305308.63,-0.02
4573277.97,5305204.68,-0.12
4573255.05,5305450.12,-1.12
4573254.16,5305413.19,-0.84
4573253.22,5305376.26,-0.24
4573252.27,5305339.35,0.15
4573264.65,5305271.8,-0.01
4573264.3,5305235.22,0.07
4573251.31,5305302.47,0.17
4573241.65,5305480.88,-1.02
4573240.76,5305443.93,-0.88
4573239.82,5305406.99,-0.31
4573238.88,5305370.07,0.28
4573237.92,5305333.18,0.36
4573250.63,5305265.76,0.25
4573236.96,5305296.3,0.48
4573228.25,5305511.64,-0.88
4573227.35,5305474.67,-0.86
4573226.42,5305437.72,-0.35
4573225.48,5305400.79,0.38
4573224.53,5305363.88,0.55
4573223.58,5305327,0.6
4573212.87,5305548.61,-0.71
4573213.94,5305505.42,-0.8
4573213.02,5305468.45,-0.36
4573197.5,5305585.57,-0.53
4573182.12,5305622.54,-0.36
4573212.09,5305431.51,0.44
4573211.15,5305394.59,0.7
4573210.2,5305357.7,0.75
4573198.31,5305542.3,-0.69
4573199.62,5305499.18,-0.34
4573198.69,5305462.23,0.45
4573182.68,5305579.19,-0.53
4573166.75,5305659.5,-0.18
4573167.05,5305616.07,-0.39
4573197.76,5305425.3,0.78
4573196.82,5305388.39,0.76
4573183.74,5305535.99,-0.31
4573185.3,5305492.95,0.43
4573184.37,5305456.01,0.81
4573167.86,5305572.79,-0.26
4573151.37,5305696.47,-0.03
4573151.41,5305652.96,-0.2
4573151.98,5305609.6,-0.24
4573183.45,5305419.09,0.66
4573169.17,5305529.67,0.38
4573170.98,5305486.71,0.76
4573170.07,5305449.79,0.55
4573153.03,5305566.4,0.33
4573134.01,5305732.7,0.06
4573135.78,5305689.84,0.03
4573136.09,5305646.4,-0.12
4573136.9,5305603.13,0.27
4573154.6,5305523.36,0.69
4573156.69,5305480.49,0.44
4573138.21,5305560.01,0.53
4573116.66,5305768.93,0.21
4573118.71,5305726.19,0.16
4573120.21,5305683.21,-0.03
4573120.77,5305639.86,0.24
4573121.83,5305596.66,0.46
4573140.06,5305517.06,0.3
4573123.43,5305553.63,0.1
4573099.3,5305805.17,0.34
4573101.64,5305762.55,0.28
4573103.41,5305719.68,0.01
4573104.64,5305676.59,0.1
4573105.44,5305633.31,0.18
4573106.79,5305590.21,-0.1
4573081.95,5305841.4,0.5
4573084.57,5305798.9,0.39
4573086.62,5305756.15,0.11
4573088.12,5305713.18,0.04
4573089.06,5305669.96,0.03
4573090.16,5305626.78,-0.42
4573064.59,5305877.63,0.58
4573067.5,5305835.25,0.53
4573069.82,5305792.62,0.14
4573071.59,5305749.76,-0.08
4573072.81,5305706.66,-0.11
4573073.53,5305663.35,-0.57
4573052.51,5305908.83,0.49
4573050.42,5305871.6,0.57
4573053.02,5305829.09,0.2
4573055.07,5305786.35,-0.17
4573056.56,5305743.36,-0.35
4573057.54,5305700.16,-0.73
4573040.43,5305940.03,0.4
4573038.18,5305902.74,0.62
4573036.22,5305865.56,0.21
4573038.55,5305822.94,-0.32
4573040.31,5305780.07,-0.53
4573041.56,5305736.98,-0.88
4573028.34,5305971.23,0.17
4573025.93,5305933.87,0.64
4573023.81,5305896.63,0.29
4573022.03,5305859.52,-0.42
4573024.07,5305816.77,-0.71
4573025.57,5305773.79,-0.96
4573016.26,5306002.43,0.05
4573013.68,5305965.01,0.55
4573011.4,5305927.7,0.3
4573009.45,5305890.53,-0.43
4573007.82,5305853.47,-0.83
4573009.59,5305810.61,-0.98
4573004.18,5306033.63,-0.05
4572992.1,5306064.83,-0.12
4573001.44,5305996.14,0.3
4572998.98,5305958.77,0.32
4572996.87,5305921.53,-0.4
4572995.08,5305884.41,-0.85
4572993.6,5305847.42,-0.91
4572979.39,5306095.95,-0.21
4572989.19,5306027.27,0.16
4572976.94,5306058.41,-0.07
4572986.57,5305989.83,0.22
4572984.29,5305952.53,-0.33
4572982.34,5305915.35,-0.75
