Easting [m],Northig [m],dz
4573739.26,5304310.34,-0.51
4573743.13,5304274.5,-0.67
4573710.93,5304484.92,0.24
4573712.72,5304447.9,-0.05
4573714.26,5304410.75,-0.11
4573718.06,5304374.95,-0.53
4573721.86,5304339.12,-0.44
4573725.72,5304303.29,-0.71
4573695.65,5304514.95,0.33
4573697.57,5304477.99,-0.03
4573699.22,5304440.9,-0.18
4573700.68,5304403.73,-0.52
4573704.46,5304367.9,-0.48
4573708.32,5304332.09,-0.48
4573684.19,5304471.05,-0.19
4573680.38,5304544.98,0.41
4573682.42,5304508.09,0.01
4573685.76,5304433.93,-0.5
4573687.06,5304396.68,-0.4
4573690.92,5304360.88,-0.02
4573670.84,5304464.13,-0.42
4573669.16,5304501.2,-0.24
4573667.27,5304538.18,0.06
4573672.26,5304426.94,-0.4
4573673.52,5304389.67,-0.17
4573657.45,5304457.19,-0.36
4573655.91,5304494.32,-0.35
4573654.13,5304531.35,-0.33
4573649.82,5304605.04,0.34
4573652.12,5304568.27,0.11
4573631.57,5304640.41,0.93
4573658.83,5304419.97,-0.24
4573644.14,5304450.28,-0.43
4573642.65,5304487.44,-0.35
4573640.99,5304524.52,-0.3
4573639.1,5304561.5,-0.36
4573636.97,5304598.36,0.16
4573613.32,5304675.78,0.78
4573618.55,5304633.74,0.04
4573629.44,5304480.59,-0.34
4573627.85,5304517.69,-0.31
4573626.07,5304554.72,-0.26
4573624.06,5304591.64,-0.36
4573605.47,5304627.03,-0.51
4573595.07,5304711.15,0.81
4573600.13,5304669.11,-0.05
4573614.75,5304510.89,-0.41
4573613.04,5304547.95,-0.29
4573611.15,5304584.92,-0.21
4573592.37,5304620.3,-0.17
4573586.88,5304662.41,-0.55
4573576.82,5304746.52,0.55
4573581.71,5304704.49,-0.13
4573558.57,5304781.89,0.34
4573600.06,5304541.2,-0.6
4573598.24,5304578.2,-0.28
4573579.29,5304613.58,-0.18
4573573.59,5304655.68,-0.07
4573568.29,5304697.79,-0.6
4573563.29,5304739.86,-0.25
4573540.71,5304817.44,0.31
4573544.87,5304775.24,-0.39
4573585.37,5304571.5,-0.72
4573566.22,5304606.88,0.45
4573560.33,5304648.97,-0.12
4573554.82,5304691.06,0.02
4573549.7,5304733.18,-0.66
4573522.85,5304852.99,0.2
4573531.11,5304768.56,-0.67
4573526.98,5304810.88,-0.34
4573504.98,5304888.54,0.21
4573547.07,5304642.26,0.33
4573541.38,5304684.35,-0.01
4573536.04,5304726.44,0.1
4573509.1,5304846.52,-0.23
4573517.27,5304761.83,0.14
4573513.23,5304804.3,-0.47
4573487.12,5304924.09,0.35
4573491.22,5304882.16,-0.14
4573527.93,5304677.65,-0.18
4573522.42,5304719.74,0.06
4573495.35,5304840.05,-0.35
4573503.47,5304755.13,0.13
4573499.4,5304797.68,-0.13
4573469.26,5304959.64,0.47
4573473.33,5304917.8,0.06
4573477.47,5304875.79,-0.29
4573508.78,5304713.03,-0.07
4573481.52,5304833.53,-0.36
4573489.63,5304748.41,-0.72
4573485.6,5304791.08,-0.11
4573454.5,5304989.7,0.38
4573455.45,5304953.44,0.27
4573459.58,5304911.53,-0.31
4573463.65,5304869.38,-0.58
4573467.73,5304827.03,-0.35
4573471.77,5304784.47,-0.45
4573439.74,5305019.75,0.38
